Year of Birth,Child's First Name
2011,ARIELLA
2011,ASHLEY
2011,ASHLY
2011,ATHENA
2011,AUBREY
2011,AURORA
2011,AVA
2011,AYLEEN
2011,AYLIN
2011,BELLA
2011,BIANCA
2011,BRENDA
2011,BRIANA
2011,BRIANNA
2011,BRIANNY
2011,BRIELLE
2011,BRITNEY
2011,BRITTANY
2011,BRYANNA
2011,CAMILA
2011,CARMEN
2011,CAROLINA
2011,CAROLINE
2011,CASSANDRA
2011,CELESTE
2011,CHARLOTTE
2011,CHELSEA
2011,CHLOE
2011,SHOSHANA
2011,CINDY
2011,CLARA
2011,CRISTINA
2011,CRYSTAL
2011,CYNTHIA
2011,DAISY
2011,DAMARIS
2011,DANA
2011,DANIELA
2011,DANIELLA
2011,SIENA
2011,DANNA
2011,DAYANA
2011,DELILAH
2011,DENISE
2011,DESTINY
2011,DIANA
2011,DULCE
2011,EILEEN
2011,ELIANA
2011,ELIANNA
2011,ELIANNY
2011,ELISA
2011,ELIZABETH
2011,ELLA
2011,EMELY
2011,EMILY
2011,EMMA
2011,ERIKA
2011,ESMERALDA
2011,ESTHER
2011,ESTRELLA
2011,EVA
2011,EVELYN
2011,FAITH
2011,FATIMA
2011,FERNANDA
2011,GABRIELA
2011,GABRIELLA
2011,GABRIELLE
2011,GENESIS
2011,CHARLES
2011,CHASE
2011,CHRIS
2011,CHRISTIAN
2011,CHRISTOPHER
2011,CRISTIAN
2011,CRISTOFER
2011,CRISTOPHER
2011,DAMIAN
2011,DAMIEN
2011,DANIEL
2011,DANNY
2011,DANTE
2011,DARIEL
2011,DARWIN
2011,SIENNA
2011,DENNIS
2011,DERECK
2011,DEREK
2011,DERICK
2011,DEVIN
2011,DIEGO
2011,DOMINIC
2011,DOMINICK
2011,DYLAN
2011,EDDIE
2011,EDGAR
2011,EDISON
2011,EDUARDO
2011,EDWARD
2011,EDWIN
2011,ELI
2011,ELIAN
2011,ELIAS
2011,ELIJAH
2011,ELVIS
2011,EMANUEL
2011,EMILIANO
2011,EMILIO
2011,EMMANUEL
2011,ENRIQUE
2011,ERIC
2011,ERICK
2011,ERIK
2011,ESTEBAN
2011,SIMA
2011,EVAN
2011,EZEKIEL
2011,EZEQUIEL
2011,FELIX
2011,FERNANDO
2011,FRANCISCO
2011,FRANK
2011,FRANKLIN
2011,FREDDY
2011,GABRIEL
2011,GAEL
2011,GAVIN
2011,GEORGE
2011,GERARDO
2011,GIOVANI
2011,GIOVANNI
2011,GIOVANNY
2011,GREGORY
2011,GUSTAVO
2011,HECTOR
2011,HENRY
2011,HUNTER
2011,IAN
2011,IKER
2011,ISAAC
2011,ISAIAH
2011,ISMAEL
2011,ISRAEL
2011,IVAN
2011,JACE
2011,JACK
2011,JACOB
2011,JADEN
2011,JADIEL
2011,JAIDEN
2011,JAIME
2011,JAKE
2011,JAMES
2011,JANIEL
2011,JANUEL
2011,JARED
2011,JARIEL
2011,JASON
2011,JAVIER
2011,JAY
2011,JAYCE
2011,SIMI
2011,JAYSON
2011,JEAN
2011,JEANCARLOS
2011,JEFFERSON
2011,JEFFREY
2011,JENCARLOS
2011,JEREMIAH
2011,JEREMIAS
2011,JEREMY
2011,JERRY
2011,JESSE
2011,JESUS
2011,JIMMY
2011,JOAQUIN
2011,JOEL
2011,JOHAN
2011,JOHANN
2011,JOHN
2011,JOHNATHAN
2011,JOHNNY
2011,JONAH
2011,JONATHAN
2011,SIMONE
2011,JORGE
2011,JOSE
2011,JOSEPH
2011,JOSHUA
2011,JOSIAH
2011,JOSUE
2011,JUAN
2011,JULIAN
2011,JULIEN
2011,JULIO
2011,JULIUS
2011,JUNIOR
2011,JUSTIN
2011,KADEN
2011,KAYDEN
2011,KELVIN
2011,KENNETH
2011,KENNY
2011,KEVIN
2011,LANDON
2011,LARRY
